id,ligand,receptor,PKa
1,Specs_99.pdbqt,13167.pdbqt,2252.683446901692
2,Specs_102.pdbqt,13167.pdbqt,1361.5882940939657
3,Specs_105.pdbqt,13167.pdbqt,3151.1548141802195
4,Specs_1.pdbqt,13167.pdbqt,695.8356318112968
5,Specs_22.pdbqt,13167.pdbqt,8625.384376956097
6,Specs_58.pdbqt,13167.pdbqt,10201.481447637932
7,Specs_20.pdbqt,13167.pdbqt,3726.9582398412513
8,Specs_15.pdbqt,13167.pdbqt,4407.976929287794
9,Specs_95.pdbqt,13167.pdbqt,6166.0761704557235
10,Specs_93.pdbqt,13167.pdbqt,973.3661443093963
11,Specs_95.pdbqt,13167.pdbqt,6166.0761704557235
12,Specs_15.pdbqt,4277.pdbqt,3151.1548141802195
13,Specs_22.pdbqt,12833.pdbqt,27923.635584104093
14,Specs_95.pdbqt,5085.pdbqt,6166.0761704557235
15,Specs_20.pdbqt,9670.pdbqt,2664.3112221601245
16,Specs_58.pdbqt,9677.pdbqt,54640.05233663085
17,Specs_95.pdbqt,10090.pdbqt,7292.789388688664
18,Specs_95.pdbqt,11029.pdbqt,27923.635584104093
19,Specs_95.pdbqt,1139.pdbqt,6166.0761704557235
20,Specs_95.pdbqt,5735.pdbqt,6166.0761704557235
21,Specs_95.pdbqt,15350.pdbqt,7292.789388688664
22,Specs_95.pdbqt,14848.pdbqt,2252.683446901692
23,Specs_95.pdbqt,13780.pdbqt,3726.9582398412513
24,Specs_95.pdbqt,7953.pdbqt,3726.9582398412513
25,Specs_95.pdbqt,12374.pdbqt,14270.290581532105
26,Specs_95.pdbqt,4729.pdbqt,1904.6508792732627
27,Specs_95.pdbqt,5495.pdbqt,1610.3882580155184
28,Specs_105.pdbqt,8994.pdbqt,3151.1548141802195
29,Specs_95.pdbqt,4101.pdbqt,2664.3112221601245
30,Specs_95.pdbqt,13945.pdbqt,3726.9582398412513
31,Specs_95.pdbqt,13588.pdbqt,4407.976929287794
32,Specs_15.pdbqt,2252.pdbqt,5213.436630822327
33,Specs_95.pdbqt,98.pdbqt,10201.481447637932
34,Specs_95.pdbqt,13518.pdbqt,7292.789388688664
35,Specs_95.pdbqt,16661.pdbqt,7292.789388688664
36,Specs_95.pdbqt,15616.pdbqt,4407.976929287794
37,Specs_95.pdbqt,2670.pdbqt,7292.789388688664
