id,ligand,receptor,PKa
1,Specs_23031.pdbqt,10341.pdbqt,4407.976929287794
2,Specs_5602.pdbqt,10341.pdbqt,5213.436630822327
3,Specs_15743.pdbqt,10341.pdbqt,12065.575188108609
4,Specs_4829.pdbqt,10341.pdbqt,8625.384376956097
5,Specs_21033.pdbqt,10341.pdbqt,5213.436630822327
6,Specs_14660.pdbqt,10341.pdbqt,822.9841104233147
7,Specs_11739.pdbqt,10341.pdbqt,90399.38281672397
8,Specs_13520.pdbqt,10341.pdbqt,14270.290581532105
9,Specs_18203.pdbqt,10341.pdbqt,8625.384376956097
10,Specs_25129.pdbqt,10341.pdbqt,33026.05865576149
11,Specs_10447.pdbqt,10341.pdbqt,76432.96007898776
12,Specs_4618.pdbqt,10341.pdbqt,6166.0761704557235
13,Specs_3855.pdbqt,10341.pdbqt,4407.976929287794
14,Specs_22791.pdbqt,10341.pdbqt,6166.0761704557235
15,Specs_24187.pdbqt,10341.pdbqt,3726.9582398412513
16,Specs_21304.pdbqt,10341.pdbqt,2664.3112221601245
17,Specs_24547.pdbqt,10341.pdbqt,5213.436630822327
18,Specs_18136.pdbqt,10341.pdbqt,14270.290581532105
19,Specs_15196.pdbqt,10341.pdbqt,4407.976929287794
20,Specs_14289.pdbqt,10341.pdbqt,1610.3882580155184
21,Specs_1093.pdbqt,10341.pdbqt,8625.384376956097
22,Specs_26890.pdbqt,10341.pdbqt,1610.3882580155184
23,Specs_21604.pdbqt,10341.pdbqt,46198.33464379458
24,Specs_7624.pdbqt,10341.pdbqt,6166.0761704557235
25,Specs_27145.pdbqt,10341.pdbqt,10201.481447637932
26,Specs_8115.pdbqt,10341.pdbqt,6166.0761704557235
27,Specs_11874.pdbqt,10341.pdbqt,3151.1548141802195
28,Specs_23915.pdbqt,10341.pdbqt,7292.789388688664
29,Specs_8409.pdbqt,10341.pdbqt,19961.923601646595
30,Specs_23135.pdbqt,10341.pdbqt,4407.976929287794
31,Specs_14049.pdbqt,10341.pdbqt,6166.0761704557235
32,Specs_710.pdbqt,10341.pdbqt,16877.86865578235
33,Specs_16327.pdbqt,10341.pdbqt,2664.3112221601245
34,Specs_22862.pdbqt,10341.pdbqt,5213.436630822327
35,Specs_12315.pdbqt,10341.pdbqt,8625.384376956097
36,Specs_2186.pdbqt,10341.pdbqt,12065.575188108609
37,Specs_5182.pdbqt,10341.pdbqt,1904.6508792732627
38,Specs_23801.pdbqt,10341.pdbqt,7292.789388688664
39,Specs_24782.pdbqt,10341.pdbqt,7292.789388688664
40,Specs_17179.pdbqt,10341.pdbqt,8625.384376956097
41,Specs_2125.pdbqt,10341.pdbqt,27923.635584104093
42,Specs_5490.pdbqt,10341.pdbqt,1904.6508792732627
43,Specs_16264.pdbqt,10341.pdbqt,14270.290581532105
44,Specs_10039.pdbqt,10341.pdbqt,5213.436630822327
45,Specs_16014.pdbqt,10341.pdbqt,3726.9582398412513
46,Specs_8800.pdbqt,10341.pdbqt,23609.520965282318
47,Specs_27530.pdbqt,10341.pdbqt,90399.38281672397
48,Specs_17217.pdbqt,10341.pdbqt,6166.0761704557235
49,Specs_2959.pdbqt,10341.pdbqt,2664.3112221601245
50,Specs_19839.pdbqt,10341.pdbqt,10201.481447637932
51,Specs_14790.pdbqt,10341.pdbqt,4407.976929287794
52,Specs_16582.pdbqt,10341.pdbqt,64624.306100410024
53,Specs_2622.pdbqt,10341.pdbqt,4407.976929287794
54,Specs_2296.pdbqt,10341.pdbqt,4407.976929287794
55,Specs_19248.pdbqt,10341.pdbqt,3726.9582398412513
56,Specs_23347.pdbqt,10341.pdbqt,1904.6508792732627
57,Specs_9932.pdbqt,10341.pdbqt,8625.384376956097
58,Specs_1152.pdbqt,10341.pdbqt,7292.789388688664
59,Specs_6361.pdbqt,10341.pdbqt,3726.9582398412513
60,Specs_12504.pdbqt,10341.pdbqt,16877.86865578235
61,Specs_27313.pdbqt,10341.pdbqt,3726.9582398412513
62,Specs_25300.pdbqt,10341.pdbqt,39060.83600928755
63,Specs_12712.pdbqt,10341.pdbqt,12065.575188108609
64,Specs_8714.pdbqt,10341.pdbqt,8625.384376956097
65,Specs_16217.pdbqt,10341.pdbqt,3726.9582398412513
66,Specs_896.pdbqt,10341.pdbqt,4407.976929287794
67,Specs_24717.pdbqt,10341.pdbqt,19961.923601646595
68,Specs_2642.pdbqt,10341.pdbqt,16877.86865578235
69,Specs_4885.pdbqt,10341.pdbqt,23609.520965282318
70,Specs_15517.pdbqt,10341.pdbqt,1610.3882580155184
71,Specs_25829.pdbqt,10341.pdbqt,54640.05233663085
72,Specs_3310.pdbqt,10341.pdbqt,3726.9582398412513
73,Specs_22990.pdbqt,10341.pdbqt,4407.976929287794
74,Specs_1532.pdbqt,10341.pdbqt,8625.384376956097
75,Specs_22639.pdbqt,10341.pdbqt,19961.923601646595
76,Specs_21801.pdbqt,10341.pdbqt,19961.923601646595
77,Specs_9732.pdbqt,10341.pdbqt,8625.384376956097
78,Specs_4446.pdbqt,10341.pdbqt,6166.0761704557235
79,Specs_22923.pdbqt,10341.pdbqt,5213.436630822327
80,Specs_7606.pdbqt,10341.pdbqt,16877.86865578235
81,Specs_2042.pdbqt,10341.pdbqt,7292.789388688664
82,Specs_21318.pdbqt,10341.pdbqt,1904.6508792732627
83,Specs_4708.pdbqt,10341.pdbqt,4407.976929287794
84,Specs_25627.pdbqt,10341.pdbqt,5213.436630822327
85,Specs_10520.pdbqt,10341.pdbqt,27923.635584104093
86,Specs_19086.pdbqt,10341.pdbqt,19961.923601646595
87,Specs_21921.pdbqt,10341.pdbqt,19961.923601646595
88,Specs_13957.pdbqt,10341.pdbqt,3726.9582398412513
89,Specs_18019.pdbqt,10341.pdbqt,39060.83600928755
90,Specs_7001.pdbqt,10341.pdbqt,6166.0761704557235
91,Specs_10362.pdbqt,10341.pdbqt,4407.976929287794
92,Specs_12634.pdbqt,10341.pdbqt,4407.976929287794
93,Specs_643.pdbqt,10341.pdbqt,3151.1548141802195
94,Specs_27528.pdbqt,10341.pdbqt,14270.290581532105
95,Specs_27286.pdbqt,10341.pdbqt,2252.683446901692
96,Specs_8496.pdbqt,10341.pdbqt,8625.384376956097
97,Specs_11397.pdbqt,10341.pdbqt,10201.481447637932
98,Specs_1406.pdbqt,10341.pdbqt,23609.520965282318
99,Specs_23220.pdbqt,10341.pdbqt,6166.0761704557235
100,Specs_6411.pdbqt,10341.pdbqt,4407.976929287794
101,Specs_23895.pdbqt,10341.pdbqt,8625.384376956097
102,Specs_25921.pdbqt,10341.pdbqt,3726.9582398412513
103,Specs_19964.pdbqt,10341.pdbqt,16877.86865578235
104,Specs_6145.pdbqt,10341.pdbqt,1904.6508792732627
105,Specs_21445.pdbqt,10341.pdbqt,12065.575188108609
106,Specs_24681.pdbqt,10341.pdbqt,16877.86865578235
107,Specs_26575.pdbqt,10341.pdbqt,23609.520965282318
108,Specs_20478.pdbqt,10341.pdbqt,14270.290581532105
109,Specs_13489.pdbqt,10341.pdbqt,16877.86865578235
110,Specs_16629.pdbqt,10341.pdbqt,33026.05865576149
111,Specs_11404.pdbqt,10341.pdbqt,12065.575188108609
112,Specs_22403.pdbqt,10341.pdbqt,4407.976929287794
113,Specs_4873.pdbqt,10341.pdbqt,5213.436630822327
114,Specs_20354.pdbqt,10341.pdbqt,27923.635584104093
115,Specs_17659.pdbqt,10341.pdbqt,16877.86865578235
116,Specs_28354.pdbqt,10341.pdbqt,572661.6684470657
117,Specs_5630.pdbqt,10341.pdbqt,6166.0761704557235
118,Specs_13708.pdbqt,10341.pdbqt,14270.290581532105
119,Specs_4501.pdbqt,10341.pdbqt,2664.3112221601245
120,Specs_7767.pdbqt,10341.pdbqt,39060.83600928755
121,Specs_5421.pdbqt,10341.pdbqt,3726.9582398412513
122,Specs_17512.pdbqt,10341.pdbqt,4407.976929287794
123,Specs_15971.pdbqt,10341.pdbqt,19961.923601646595
124,Specs_15968.pdbqt,10341.pdbqt,7292.789388688664
125,Specs_8677.pdbqt,10341.pdbqt,27923.635584104093
126,Specs_18648.pdbqt,10341.pdbqt,8625.384376956097
127,Specs_26702.pdbqt,10341.pdbqt,5213.436630822327
128,Specs_23873.pdbqt,10341.pdbqt,3151.1548141802195
129,Specs_12326.pdbqt,10341.pdbqt,23609.520965282318
130,Specs_24578.pdbqt,10341.pdbqt,14270.290581532105
131,Specs_624.pdbqt,10341.pdbqt,7292.789388688664
132,Specs_4226.pdbqt,10341.pdbqt,3151.1548141802195
133,Specs_1405.pdbqt,10341.pdbqt,3151.1548141802195
134,Specs_17765.pdbqt,10341.pdbqt,16877.86865578235
135,Specs_26261.pdbqt,10341.pdbqt,1904.6508792732627
136,Specs_26698.pdbqt,10341.pdbqt,14270.290581532105
137,Specs_26405.pdbqt,10341.pdbqt,4407.976929287794
138,Specs_2472.pdbqt,10341.pdbqt,6166.0761704557235
139,Specs_1095.pdbqt,10341.pdbqt,6166.0761704557235
140,Specs_5827.pdbqt,10341.pdbqt,27923.635584104093
141,Specs_20954.pdbqt,10341.pdbqt,8625.384376956097
142,Specs_14861.pdbqt,10341.pdbqt,5213.436630822327
143,Specs_17187.pdbqt,10341.pdbqt,7292.789388688664
144,Specs_16450.pdbqt,10341.pdbqt,4407.976929287794
145,Specs_27144.pdbqt,10341.pdbqt,3726.9582398412513
146,Specs_1551.pdbqt,10341.pdbqt,6166.0761704557235
147,Specs_11639.pdbqt,10341.pdbqt,16877.86865578235
148,Specs_14204.pdbqt,10341.pdbqt,4407.976929287794
149,Specs_5769.pdbqt,10341.pdbqt,16877.86865578235
150,Specs_3512.pdbqt,10341.pdbqt,1151.2271487239407
151,Specs_26308.pdbqt,10341.pdbqt,4407.976929287794
152,Specs_9733.pdbqt,10341.pdbqt,8625.384376956097
153,Specs_1128.pdbqt,10341.pdbqt,1151.2271487239407
154,Specs_27468.pdbqt,10341.pdbqt,3151.1548141802195
155,Specs_16630.pdbqt,10341.pdbqt,2252.683446901692
156,Specs_11471.pdbqt,10341.pdbqt,14270.290581532105
157,Specs_11474.pdbqt,10341.pdbqt,12065.575188108609
158,Specs_24874.pdbqt,10341.pdbqt,2664.3112221601245
159,Specs_1697.pdbqt,10341.pdbqt,3151.1548141802195
160,Specs_19416.pdbqt,10341.pdbqt,10201.481447637932
161,Specs_16163.pdbqt,10341.pdbqt,10201.481447637932
162,Specs_154.pdbqt,10341.pdbqt,23609.520965282318
163,Specs_5824.pdbqt,10341.pdbqt,14270.290581532105
164,Specs_22149.pdbqt,10341.pdbqt,10201.481447637932
165,Specs_8142.pdbqt,10341.pdbqt,4407.976929287794
166,Specs_1511.pdbqt,10341.pdbqt,4407.976929287794
167,Specs_16733.pdbqt,10341.pdbqt,2252.683446901692
168,Specs_24032.pdbqt,10341.pdbqt,23609.520965282318
169,Specs_28099.pdbqt,10341.pdbqt,2252.683446901692
170,Specs_3062.pdbqt,10341.pdbqt,14270.290581532105
171,Specs_16076.pdbqt,10341.pdbqt,3151.1548141802195
172,Specs_28400.pdbqt,10341.pdbqt,8625.384376956097
173,Specs_27504.pdbqt,10341.pdbqt,7292.789388688664
174,Specs_1699.pdbqt,10341.pdbqt,23609.520965282318
175,Specs_4994.pdbqt,10341.pdbqt,2252.683446901692
176,Specs_16830.pdbqt,10341.pdbqt,46198.33464379458
177,Specs_20031.pdbqt,10341.pdbqt,6166.0761704557235
178,Specs_4191.pdbqt,10341.pdbqt,588.3311966365632
179,Specs_25015.pdbqt,10341.pdbqt,7292.789388688664
180,Specs_19775.pdbqt,10341.pdbqt,16877.86865578235
181,Specs_25803.pdbqt,10341.pdbqt,5213.436630822327
182,Specs_13877.pdbqt,10341.pdbqt,8625.384376956097
183,Specs_19860.pdbqt,10341.pdbqt,33026.05865576149
184,Specs_24797.pdbqt,10341.pdbqt,10201.481447637932
185,Specs_10499.pdbqt,10341.pdbqt,12065.575188108609
186,Specs_19651.pdbqt,10341.pdbqt,23609.520965282318
187,Specs_13106.pdbqt,10341.pdbqt,3726.9582398412513
188,Specs_20805.pdbqt,10341.pdbqt,8625.384376956097
189,Specs_21657.pdbqt,10341.pdbqt,6166.0761704557235
190,Specs_13795.pdbqt,10341.pdbqt,7292.789388688664
191,Specs_4720.pdbqt,10341.pdbqt,3151.1548141802195
192,Specs_14829.pdbqt,10341.pdbqt,822.9841104233147
193,Specs_13889.pdbqt,10341.pdbqt,7292.789388688664
194,Specs_9108.pdbqt,10341.pdbqt,54640.05233663085
195,Specs_5214.pdbqt,10341.pdbqt,10201.481447637932
196,Specs_4637.pdbqt,10341.pdbqt,8625.384376956097
197,Specs_28168.pdbqt,10341.pdbqt,3726.9582398412513
198,Specs_22118.pdbqt,10341.pdbqt,16877.86865578235
199,Specs_5480.pdbqt,10341.pdbqt,14270.290581532105
200,Specs_9783.pdbqt,10341.pdbqt,12065.575188108609
201,Specs_21846.pdbqt,10341.pdbqt,27923.635584104093
202,Specs_14004.pdbqt,10341.pdbqt,3726.9582398412513
203,Specs_3615.pdbqt,10341.pdbqt,2252.683446901692
204,Specs_12761.pdbqt,10341.pdbqt,12065.575188108609
205,Specs_9097.pdbqt,10341.pdbqt,12065.575188108609
206,Specs_3839.pdbqt,10341.pdbqt,5213.436630822327
207,Specs_7888.pdbqt,10341.pdbqt,1610.3882580155184
208,Specs_14811.pdbqt,10341.pdbqt,14270.290581532105
209,Specs_16614.pdbqt,10341.pdbqt,6166.0761704557235
210,Specs_27207.pdbqt,10341.pdbqt,6166.0761704557235
211,Specs_2383.pdbqt,10341.pdbqt,2664.3112221601245
212,Specs_4385.pdbqt,10341.pdbqt,5213.436630822327
213,Specs_1429.pdbqt,10341.pdbqt,1610.3882580155184
214,Specs_28273.pdbqt,10341.pdbqt,2664.3112221601245
215,Specs_23113.pdbqt,10341.pdbqt,2664.3112221601245
216,Specs_12743.pdbqt,10341.pdbqt,14270.290581532105
217,Specs_8372.pdbqt,10341.pdbqt,33026.05865576149
218,Specs_11673.pdbqt,10341.pdbqt,3151.1548141802195
219,Specs_9125.pdbqt,10341.pdbqt,27923.635584104093
220,Specs_9318.pdbqt,10341.pdbqt,3726.9582398412513
221,Specs_8947.pdbqt,10341.pdbqt,3726.9582398412513
222,Specs_8557.pdbqt,10341.pdbqt,23609.520965282318
223,Specs_2012.pdbqt,10341.pdbqt,3726.9582398412513
224,Specs_10388.pdbqt,10341.pdbqt,973.3661443093963
225,Specs_13797.pdbqt,10341.pdbqt,12065.575188108609
226,Specs_3963.pdbqt,10341.pdbqt,23609.520965282318
227,Specs_7285.pdbqt,10341.pdbqt,19961.923601646595
228,Specs_18369.pdbqt,10341.pdbqt,6166.0761704557235
229,Specs_27089.pdbqt,10341.pdbqt,46198.33464379458
230,Specs_9369.pdbqt,10341.pdbqt,7292.789388688664
231,Specs_11846.pdbqt,10341.pdbqt,16877.86865578235
232,Specs_27939.pdbqt,10341.pdbqt,19961.923601646595
233,Specs_4552.pdbqt,10341.pdbqt,3151.1548141802195
234,Specs_8857.pdbqt,10341.pdbqt,6166.0761704557235
235,Specs_13103.pdbqt,10341.pdbqt,8625.384376956097
236,Specs_5470.pdbqt,10341.pdbqt,3726.9582398412513
237,Specs_19280.pdbqt,10341.pdbqt,33026.05865576149
238,Specs_18239.pdbqt,10341.pdbqt,10201.481447637932
239,Specs_19113.pdbqt,10341.pdbqt,7292.789388688664
240,Specs_9368.pdbqt,10341.pdbqt,14270.290581532105
241,Specs_18989.pdbqt,10341.pdbqt,5213.436630822327
242,Specs_21944.pdbqt,10341.pdbqt,27923.635584104093
243,Specs_23374.pdbqt,10341.pdbqt,16877.86865578235
244,Specs_529.pdbqt,10341.pdbqt,973.3661443093963
245,Specs_25797.pdbqt,10341.pdbqt,16877.86865578235
246,Specs_15622.pdbqt,10341.pdbqt,5213.436630822327
247,Specs_16718.pdbqt,10341.pdbqt,822.9841104233147
248,Specs_16855.pdbqt,10341.pdbqt,1361.5882940939657
249,Specs_4574.pdbqt,10341.pdbqt,2664.3112221601245
250,Specs_9582.pdbqt,10341.pdbqt,4407.976929287794
251,Specs_940.pdbqt,10341.pdbqt,10201.481447637932
252,Specs_21526.pdbqt,10341.pdbqt,14270.290581532105
253,Specs_4924.pdbqt,10341.pdbqt,76432.96007898776
254,Specs_16038.pdbqt,10341.pdbqt,3151.1548141802195
